defect_ref,check_id,entity_type,entity_key,description
INJ-0067,DQ-01,claim,CLM-2026-022351,Exact claim_id re-submitted under a resend batch
INJ-0068,DQ-01,claim,CLM-2026-015545,Exact claim_id re-submitted under a resend batch
INJ-0069,DQ-01,claim,CLM-2026-024749,Exact claim_id re-submitted under a resend batch
INJ-0070,DQ-01,claim,CLM-2026-007574,Exact claim_id re-submitted under a resend batch
INJ-0071,DQ-01,claim,CLM-2026-024842,Exact claim_id re-submitted under a resend batch
INJ-0072,DQ-01,claim,CLM-2026-023546,Exact claim_id re-submitted under a resend batch
INJ-0073,DQ-01,claim,CLM-2026-010074,Exact claim_id re-submitted under a resend batch
INJ-0074,DQ-01,claim,CLM-2026-015632,Exact claim_id re-submitted under a resend batch
INJ-0075,DQ-01,claim,CLM-2026-020920,Exact claim_id re-submitted under a resend batch
INJ-0076,DQ-01,claim,CLM-2026-023216,Exact claim_id re-submitted under a resend batch
INJ-0077,DQ-01,claim,CLM-2026-024661,Exact claim_id re-submitted under a resend batch
INJ-0078,DQ-01,claim,CLM-2026-023095,Exact claim_id re-submitted under a resend batch
INJ-0079,DQ-01,claim,CLM-2026-002681,Exact claim_id re-submitted under a resend batch
INJ-0080,DQ-01,claim,CLM-2026-020421,Exact claim_id re-submitted under a resend batch
INJ-0081,DQ-01,claim,CLM-2026-020844,Exact claim_id re-submitted under a resend batch
INJ-0082,DQ-01,claim,CLM-2026-009415,Exact claim_id re-submitted under a resend batch
INJ-0083,DQ-01,claim,CLM-2026-008003,Exact claim_id re-submitted under a resend batch
INJ-0084,DQ-01,claim,CLM-2026-015590,Exact claim_id re-submitted under a resend batch
INJ-0085,DQ-01,claim,CLM-2026-017556,Exact claim_id re-submitted under a resend batch
INJ-0086,DQ-01,claim,CLM-2026-014429,Exact claim_id re-submitted under a resend batch
INJ-0087,DQ-01,claim,CLM-2026-003852,Exact claim_id re-submitted under a resend batch
INJ-0088,DQ-01,claim,CLM-2026-008399,Exact claim_id re-submitted under a resend batch
INJ-0089,DQ-01,claim,CLM-2026-013684,Exact claim_id re-submitted under a resend batch
INJ-0090,DQ-01,claim,CLM-2026-023358,Exact claim_id re-submitted under a resend batch
INJ-0091,DQ-02,claim,CLM-2026-900001,"Duplicate billing fingerprint of CLM-2026-007297 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0092,DQ-02,claim,CLM-2026-900002,"Duplicate billing fingerprint of CLM-2026-007788 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0093,DQ-02,claim,CLM-2026-900003,"Duplicate billing fingerprint of CLM-2026-004495 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0094,DQ-02,claim,CLM-2026-900004,"Duplicate billing fingerprint of CLM-2026-020833 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0095,DQ-02,claim,CLM-2026-900005,"Duplicate billing fingerprint of CLM-2026-007867 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0096,DQ-02,claim,CLM-2026-900006,"Duplicate billing fingerprint of CLM-2026-012404 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0097,DQ-02,claim,CLM-2026-900007,"Duplicate billing fingerprint of CLM-2026-020313 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0098,DQ-02,claim,CLM-2026-900008,"Duplicate billing fingerprint of CLM-2026-024444 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0099,DQ-02,claim,CLM-2026-900009,"Duplicate billing fingerprint of CLM-2026-015306 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0100,DQ-02,claim,CLM-2026-900010,"Duplicate billing fingerprint of CLM-2026-021517 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0101,DQ-02,claim,CLM-2026-900011,"Duplicate billing fingerprint of CLM-2026-010180 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0102,DQ-02,claim,CLM-2026-900012,"Duplicate billing fingerprint of CLM-2026-008059 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0103,DQ-02,claim,CLM-2026-900013,"Duplicate billing fingerprint of CLM-2026-013048 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0104,DQ-02,claim,CLM-2026-900014,"Duplicate billing fingerprint of CLM-2026-002670 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0105,DQ-02,claim,CLM-2026-900015,"Duplicate billing fingerprint of CLM-2026-017918 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0106,DQ-02,claim,CLM-2026-900016,"Duplicate billing fingerprint of CLM-2026-007585 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0107,DQ-02,claim,CLM-2026-900017,"Duplicate billing fingerprint of CLM-2026-014367 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0108,DQ-02,claim,CLM-2026-900018,"Duplicate billing fingerprint of CLM-2026-022706 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0109,DQ-02,claim,CLM-2026-900019,"Duplicate billing fingerprint of CLM-2026-017813 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0110,DQ-02,claim,CLM-2026-900020,"Duplicate billing fingerprint of CLM-2026-018610 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0111,DQ-02,claim,CLM-2026-900021,"Duplicate billing fingerprint of CLM-2026-013956 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0112,DQ-02,claim,CLM-2026-900022,"Duplicate billing fingerprint of CLM-2026-008071 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0113,DQ-02,claim,CLM-2026-900023,"Duplicate billing fingerprint of CLM-2026-003143 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0114,DQ-02,claim,CLM-2026-900024,"Duplicate billing fingerprint of CLM-2026-001729 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0115,DQ-02,claim,CLM-2026-900025,"Duplicate billing fingerprint of CLM-2026-010804 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0116,DQ-02,claim,CLM-2026-900026,"Duplicate billing fingerprint of CLM-2026-018362 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0117,DQ-02,claim,CLM-2026-900027,"Duplicate billing fingerprint of CLM-2026-004680 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0118,DQ-02,claim,CLM-2026-900028,"Duplicate billing fingerprint of CLM-2026-000187 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0119,DQ-02,claim,CLM-2026-900029,"Duplicate billing fingerprint of CLM-2026-019326 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0120,DQ-02,claim,CLM-2026-900030,"Duplicate billing fingerprint of CLM-2026-015115 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0121,DQ-02,claim,CLM-2026-900031,"Duplicate billing fingerprint of CLM-2026-000160 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0122,DQ-02,claim,CLM-2026-900032,"Duplicate billing fingerprint of CLM-2026-002009 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0123,DQ-02,claim,CLM-2026-900033,"Duplicate billing fingerprint of CLM-2026-016096 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0124,DQ-02,claim,CLM-2026-900034,"Duplicate billing fingerprint of CLM-2026-023681 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0125,DQ-02,claim,CLM-2026-900035,"Duplicate billing fingerprint of CLM-2026-019353 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0126,DQ-02,claim,CLM-2026-900036,"Duplicate billing fingerprint of CLM-2026-016246 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0127,DQ-02,claim,CLM-2026-900037,"Duplicate billing fingerprint of CLM-2026-002528 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0128,DQ-02,claim,CLM-2026-900038,"Duplicate billing fingerprint of CLM-2026-010239 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0129,DQ-02,claim,CLM-2026-900039,"Duplicate billing fingerprint of CLM-2026-002124 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0130,DQ-02,claim,CLM-2026-900040,"Duplicate billing fingerprint of CLM-2026-007223 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0131,DQ-02,claim,CLM-2026-900041,"Duplicate billing fingerprint of CLM-2026-007229 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0132,DQ-02,claim,CLM-2026-900042,"Duplicate billing fingerprint of CLM-2026-005394 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0133,DQ-02,claim,CLM-2026-900043,"Duplicate billing fingerprint of CLM-2026-010842 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0134,DQ-02,claim,CLM-2026-900044,"Duplicate billing fingerprint of CLM-2026-023991 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0135,DQ-02,claim,CLM-2026-900045,"Duplicate billing fingerprint of CLM-2026-020645 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0136,DQ-02,claim,CLM-2026-900046,"Duplicate billing fingerprint of CLM-2026-012663 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0137,DQ-02,claim,CLM-2026-900047,"Duplicate billing fingerprint of CLM-2026-005567 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0138,DQ-02,claim,CLM-2026-900048,"Duplicate billing fingerprint of CLM-2026-003124 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0139,DQ-02,claim,CLM-2026-900049,"Duplicate billing fingerprint of CLM-2026-018530 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0140,DQ-02,claim,CLM-2026-900050,"Duplicate billing fingerprint of CLM-2026-012927 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0141,DQ-02,claim,CLM-2026-900051,"Duplicate billing fingerprint of CLM-2026-011437 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0142,DQ-02,claim,CLM-2026-900052,"Duplicate billing fingerprint of CLM-2026-000860 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0143,DQ-02,claim,CLM-2026-900053,"Duplicate billing fingerprint of CLM-2026-000699 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0144,DQ-02,claim,CLM-2026-900054,"Duplicate billing fingerprint of CLM-2026-023912 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0145,DQ-02,claim,CLM-2026-900055,"Duplicate billing fingerprint of CLM-2026-006369 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0146,DQ-02,claim,CLM-2026-900056,"Duplicate billing fingerprint of CLM-2026-003037 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0147,DQ-02,claim,CLM-2026-900057,"Duplicate billing fingerprint of CLM-2026-005353 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0148,DQ-02,claim,CLM-2026-900058,"Duplicate billing fingerprint of CLM-2026-005019 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0149,DQ-02,claim,CLM-2026-900059,"Duplicate billing fingerprint of CLM-2026-020163 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0150,DQ-02,claim,CLM-2026-900060,"Duplicate billing fingerprint of CLM-2026-020001 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0151,DQ-02,claim,CLM-2026-900061,"Duplicate billing fingerprint of CLM-2026-020719 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0152,DQ-02,claim,CLM-2026-900062,"Duplicate billing fingerprint of CLM-2026-000060 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0153,DQ-02,claim,CLM-2026-900063,"Duplicate billing fingerprint of CLM-2026-007648 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0154,DQ-02,claim,CLM-2026-900064,"Duplicate billing fingerprint of CLM-2026-004846 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0155,DQ-02,claim,CLM-2026-900065,"Duplicate billing fingerprint of CLM-2026-003270 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0156,DQ-02,claim,CLM-2026-900066,"Duplicate billing fingerprint of CLM-2026-022128 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0157,DQ-02,claim,CLM-2026-900067,"Duplicate billing fingerprint of CLM-2026-007544 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0158,DQ-02,claim,CLM-2026-900068,"Duplicate billing fingerprint of CLM-2026-004035 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0159,DQ-02,claim,CLM-2026-900069,"Duplicate billing fingerprint of CLM-2026-008823 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0160,DQ-02,claim,CLM-2026-900070,"Duplicate billing fingerprint of CLM-2026-007022 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0161,DQ-02,claim,CLM-2026-900071,"Duplicate billing fingerprint of CLM-2026-009892 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0162,DQ-02,claim,CLM-2026-900072,"Duplicate billing fingerprint of CLM-2026-018083 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0163,DQ-02,claim,CLM-2026-900073,"Duplicate billing fingerprint of CLM-2026-004890 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0164,DQ-02,claim,CLM-2026-900074,"Duplicate billing fingerprint of CLM-2026-005862 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0165,DQ-02,claim,CLM-2026-900075,"Duplicate billing fingerprint of CLM-2026-009758 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0166,DQ-02,claim,CLM-2026-900076,"Duplicate billing fingerprint of CLM-2026-019049 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0167,DQ-02,claim,CLM-2026-900077,"Duplicate billing fingerprint of CLM-2026-015055 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0168,DQ-02,claim,CLM-2026-900078,"Duplicate billing fingerprint of CLM-2026-013820 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0169,DQ-02,claim,CLM-2026-900079,"Duplicate billing fingerprint of CLM-2026-009510 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0170,DQ-02,claim,CLM-2026-900080,"Duplicate billing fingerprint of CLM-2026-013182 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0171,DQ-02,claim,CLM-2026-900081,"Duplicate billing fingerprint of CLM-2026-014657 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0172,DQ-02,claim,CLM-2026-900082,"Duplicate billing fingerprint of CLM-2026-016486 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0173,DQ-02,claim,CLM-2026-900083,"Duplicate billing fingerprint of CLM-2026-004472 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0174,DQ-02,claim,CLM-2026-900084,"Duplicate billing fingerprint of CLM-2026-010622 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0175,DQ-02,claim,CLM-2026-900085,"Duplicate billing fingerprint of CLM-2026-000809 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0176,DQ-02,claim,CLM-2026-900086,"Duplicate billing fingerprint of CLM-2026-012886 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0177,DQ-02,claim,CLM-2026-900087,"Duplicate billing fingerprint of CLM-2026-012532 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0178,DQ-02,claim,CLM-2026-900088,"Duplicate billing fingerprint of CLM-2026-009241 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0179,DQ-02,claim,CLM-2026-900089,"Duplicate billing fingerprint of CLM-2026-020005 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0180,DQ-02,claim,CLM-2026-900090,"Duplicate billing fingerprint of CLM-2026-005122 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0181,DQ-02,claim,CLM-2026-900091,"Duplicate billing fingerprint of CLM-2026-001626 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0182,DQ-02,claim,CLM-2026-900092,"Duplicate billing fingerprint of CLM-2026-001005 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0183,DQ-02,claim,CLM-2026-900093,"Duplicate billing fingerprint of CLM-2026-010542 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0184,DQ-02,claim,CLM-2026-900094,"Duplicate billing fingerprint of CLM-2026-008714 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0185,DQ-02,claim,CLM-2026-900095,"Duplicate billing fingerprint of CLM-2026-012594 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0186,DQ-02,claim,CLM-2026-900096,"Duplicate billing fingerprint of CLM-2026-007800 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0187,DQ-02,claim,CLM-2026-900097,"Duplicate billing fingerprint of CLM-2026-005658 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0188,DQ-02,claim,CLM-2026-900098,"Duplicate billing fingerprint of CLM-2026-014913 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0189,DQ-02,claim,CLM-2026-900099,"Duplicate billing fingerprint of CLM-2026-003406 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0190,DQ-02,claim,CLM-2026-900100,"Duplicate billing fingerprint of CLM-2026-004778 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0191,DQ-02,claim,CLM-2026-900101,"Duplicate billing fingerprint of CLM-2026-004554 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0192,DQ-02,claim,CLM-2026-900102,"Duplicate billing fingerprint of CLM-2026-003373 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0193,DQ-02,claim,CLM-2026-900103,"Duplicate billing fingerprint of CLM-2026-004259 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0194,DQ-02,claim,CLM-2026-900104,"Duplicate billing fingerprint of CLM-2026-002878 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0195,DQ-02,claim,CLM-2026-900105,"Duplicate billing fingerprint of CLM-2026-009827 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0196,DQ-02,claim,CLM-2026-900106,"Duplicate billing fingerprint of CLM-2026-007371 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0197,DQ-02,claim,CLM-2026-900107,"Duplicate billing fingerprint of CLM-2026-000385 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0198,DQ-02,claim,CLM-2026-900108,"Duplicate billing fingerprint of CLM-2026-018273 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0199,DQ-02,claim,CLM-2026-900109,"Duplicate billing fingerprint of CLM-2026-016143 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0200,DQ-02,claim,CLM-2026-900110,"Duplicate billing fingerprint of CLM-2026-022630 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0201,DQ-02,claim,CLM-2026-900111,"Duplicate billing fingerprint of CLM-2026-015747 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0202,DQ-02,claim,CLM-2026-900112,"Duplicate billing fingerprint of CLM-2026-003908 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0203,DQ-02,claim,CLM-2026-900113,"Duplicate billing fingerprint of CLM-2026-006522 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0204,DQ-02,claim,CLM-2026-900114,"Duplicate billing fingerprint of CLM-2026-022739 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0205,DQ-02,claim,CLM-2026-900115,"Duplicate billing fingerprint of CLM-2026-024756 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0206,DQ-02,claim,CLM-2026-900116,"Duplicate billing fingerprint of CLM-2026-012824 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0207,DQ-02,claim,CLM-2026-900117,"Duplicate billing fingerprint of CLM-2026-024394 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0208,DQ-02,claim,CLM-2026-900118,"Duplicate billing fingerprint of CLM-2026-015625 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0209,DQ-02,claim,CLM-2026-900119,"Duplicate billing fingerprint of CLM-2026-013344 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0210,DQ-02,claim,CLM-2026-900120,"Duplicate billing fingerprint of CLM-2026-005047 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0211,DQ-02,claim,CLM-2026-900121,"Duplicate billing fingerprint of CLM-2026-020134 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0212,DQ-02,claim,CLM-2026-900122,"Duplicate billing fingerprint of CLM-2026-022713 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0213,DQ-02,claim,CLM-2026-900123,"Duplicate billing fingerprint of CLM-2026-003651 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0214,DQ-02,claim,CLM-2026-900124,"Duplicate billing fingerprint of CLM-2026-007423 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0215,DQ-02,claim,CLM-2026-900125,"Duplicate billing fingerprint of CLM-2026-000969 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0216,DQ-02,claim,CLM-2026-900126,"Duplicate billing fingerprint of CLM-2026-013913 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0217,DQ-02,claim,CLM-2026-900127,"Duplicate billing fingerprint of CLM-2026-001645 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0218,DQ-02,claim,CLM-2026-900128,"Duplicate billing fingerprint of CLM-2026-015286 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0219,DQ-02,claim,CLM-2026-900129,"Duplicate billing fingerprint of CLM-2026-002334 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0220,DQ-02,claim,CLM-2026-900130,"Duplicate billing fingerprint of CLM-2026-013397 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0221,DQ-02,claim,CLM-2026-900131,"Duplicate billing fingerprint of CLM-2026-009273 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0222,DQ-02,claim,CLM-2026-900132,"Duplicate billing fingerprint of CLM-2026-006771 (same patient, DOS, CPT, charge) under a new claim id"
INJ-0223,DQ-02,claim,CLM-2026-900133,"Duplicate billing fingerprint of CLM-2026-022224 (same patient, DOS, CPT, charge) under a new claim id"
